brand,title,file_id,size_bytes,category,sync
Bridgestone,Bridgestone-OTR-DataBook-2024.pdf,1eerLULYrSN9UunPsWkuHpZt7Euaniz_i,10147710,otr,yes
Bridgestone,Bridgestone-OTR-DataBook-2018.pdf,1XBOmVPtn5QE2hsIpyMMgcRQHqlKDQK_v,5183627,otr,yes
Bridgestone,Bridgestone-Truck-Tyre-DataBook-2023.pdf,1uBf5JqcHWk364xWSrEeuyMdom4RJuoDq,32943296,truck,no
Michelin,Michelin-Earthmover-Technical-DataBook-2019.pdf,1GpvfQoDNS5Bqwco8Ock-EVnx1HFDwJvR,17306451,otr,yes
Michelin,Michelin-Caterpillar-OEM-DataBook.pdf,1ZRNVVwdLuZWEaO6l7B5LGLZJxYmSTTx-,8972486,otr,yes
Michelin,Michelin-Earthmover-Product-Catalogue-Construction-Mining-Quarry.pdf,1vgB5H0LzkxWsbltTNIsmvlNB_lfHJDqy,6350001,otr,yes
Michelin,Michelin-Ag-DataBook.pdf,1zJSct3GGd4edtHhkIp9ClMiC4EyCHj7G,718425,ag,yes
Michelin,Michelin-Ag-Technical-DataBook-2020.pdf,1Vh8Wfi3ztN0sGG84IYomIJXYrFcWuMKE,13946458,ag,yes
Michelin,Michelin-Truck-Tyre-DataBook-21st.pdf,1BU8qOgwFmbCVsfVn7nPYUduPvf9rZ21l,9697172,truck,no
Goodyear,Goodyear-OTR-Specialty-Catalogue.pdf,147dWzGmpDtSWAmC4Z1pUIoTQwAvPpkxt,8327503,otr,yes
Yokohama,Yokohama-OTR-DataBook.pdf,1dP_STfOcOcxy8fD9ZcMmNYpLCQ1wFSH3,3697376,otr,yes
Yokohama,Yokohama-Construction-Mining-Radial-2021.pdf,1prnzd70gngkXD6VgBB8wlsazXLzKSpiU,1120499,otr,yes
Yokohama,Yokohama-ATG-Full-Catalogue-2025.pdf,196pJoRGoQbIepRdkXZVg_TGXO1oIJz4p,55025531,ag,yes
Titan,Titan-OTR-Databook-2024.pdf,1sWVzVcpma4vDwxx-2u_cu-qc8YPtu5C4,49810612,otr,yes
Triangle,Triangle-OTR-Catalogue-2020.pdf,1HZBm1UoOOezyQWGPj7rV7gpDq1rcZG-h,28158511,otr,yes
Techking,Techking-OTR-Radial-Databook-V17.pdf,1M3uObD4gNl4ap7PcA-enY404I3UaU5QI,7532043,otr,yes
Galaxy,Galaxy-Primex-OTR-Catalogue.pdf,1MISojbWkTBgX1KiPiQ9Q6dc4r1r7YLzt,1469380,otr,yes
Carlisle,Carlisle-Specialty-Tire-Wheel-Catalog-2019.pdf,1J4rrHwo1Rtz2hcR1H_SPV-KLFzHyE7O_,5959208,specialty,yes
CEAT,CEAT-Specialty-OTR-Agricultural-Brochure.pdf,1q8BrTjIefNu2WOdeb46o_Bxa5tpdlE2Q,16406928,otr,yes
Mitas,Mitas-Agricultural-Catalogue-2019-2020.pdf,1uCThGooVuV8XUtu-zyernDEk7A1m6iue,9949019,ag,yes
Mitas,Mitas-ICT-Construction-Catalogue.pdf,1aGdgHSZ8zVKOKp-1QADFx6TVYkqPJodV,197363,construction,yes
Alliance,Alliance-Tire-Range-Ag-Forestry-Industrial-OTR.pdf,1PY-bVtVs2g01fD-cdK91xZhptkIgrSFD,6528598,ag,yes
Alliance,Alliance-Product-Catalog-2021.pdf,17xtl7Ff4gawcU0yl0WuRBGDt6foUzIam,4651937,ag,yes
Firestone,Firestone-OTR-Product-Guide.pdf,1oGo01Ozu70SMJ55rYDMmemYPUrOYz6UD,111341,otr,yes
Firestone,Firestone-TBR-DataBook-2018.pdf,1hu0c27NoqwFKrRSFge6JlSqVgrNxQPEx,111341,truck,no
BKT,BKT-Industrial-OTR-Catalogue.pdf,1m7r8rhCMs07GyH7m0v2vf-nAUqVjgoNj,5846878,otr,yes
BKT,BKT-Tires-Update-2024.pdf,1BeQ-sr9sSgHVE6SJPhI69nivm5S7rZW0,1551596,multi,yes
Westlake,Westlake-OTR-Catalogue-2022.pdf,1tBM0zByoglGTH-u4cP4kFMBakWy6uldB,16740439,otr,yes
Linglong,Linglong-Tyre-Catalogue-Specialty.pdf,1vdndg2_PppiPOiLK4G2YfP32hGii7tIA,11152399,specialty,yes
Prometeon,Prometeon-OTR-Catalogue.pdf,1RZAT17xAmX3OEYkn1fkruro-eMLE2613,1668660,otr,yes
Pirelli,Pirelli-Agricultural-Technical-Manual-2022.pdf,1jl0OiX7rHx9LXM3yhL7tc5mUITmhh1r0,1926521,ag,yes
Continental,Continental-Agricultural-DataBook.pdf,1OBoGaAVkym--jL3NiketxJ0qrh0726B3,11563966,ag,yes
MRF,MRF-OTR-Catalogue-2023.pdf,1sLrRqy6p162gR5qVIJOMZMK0SOkOGxol,49839083,otr,yes
MRF,MRF-Full-Tyre-Catalogue.pdf,1QKqsu9-5oyrXS42YlsU2EAbQZN4d4zzw,6215038,multi,yes
Double Coin,Double-Coin-OTR-Data-Book.pdf,1xZjgAFSqig6lpGskBhL_jWm4vYMcLK7n,3959628,otr,yes
Multi-Brand,OTR-Agricultural-Products-Catalogue-2024.pdf,151bxweVPE2lGv8nGzYLYDq5ZDx05CWxd,14973276,ag,yes
Multi-Brand,OTR-Mining-Products-Catalogue-2024.pdf,11j5kiAPkgpEQOU-iqXAT-rOZ-yuvBSuc,16963794,otr,yes
